City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,selfoss,63.9331,-20.9971,282.62,94,100,5.0,IS,1718735546
346,bubaque,11.2833,-15.8333,299.87,80,86,7.01,GW,1718735547
347,port saint john's,-31.6229,29.5448,292.11,65,0,2.81,ZA,1718735547
348,kapoeta,4.7717,33.5903,300.64,50,24,2.28,SS,1718735548
349,dalandzadgad,43.5708,104.425,293.91,30,58,4.75,MN,1718735548
350,simanggang,1.2472,111.4528,299.14,94,96,1.03,MY,1718735549
351,comodoro rivadavia,-45.8667,-67.5,274.07,93,100,6.17,AR,1718735550
352,the pas,53.8251,-101.2541,284.16,50,100,7.2,CA,1718735551
353,fisterra,42.9049,-9.2629,289.12,78,32,1.47,ES,1718735551
354,touros,-5.1989,-35.4608,299.62,81,56,5.75,BR,1718735552
355,al bawiti,28.3492,28.8659,303.31,24,0,4.94,EG,1718735552
356,vylkove,45.4021,29.586,297.17,56,100,2.62,UA,1718735553
357,port blair,11.6667,92.75,301.17,83,40,2.57,IN,1718735553
358,minas de marcona,-15.2119,-75.1103,287.28,76,73,7.64,PE,1718735554
359,sechura,-5.5569,-80.8222,297.91,56,13,5.74,PE,1718735554
360,livingston,55.9029,-3.5226,289.59,73,40,4.63,GB,1718735352
361,biryusinsk,55.9634,97.8235,288.63,96,92,1.53,RU,1718735555
362,novy bydzov,50.2415,15.4908,301.1,57,100,5.44,CZ,1718735556
